,DOCENTE,UNIDADE,CARGO,VINCULO,STATUS,Nota_RAD,Ensino,Pesquisa,Extensão,Gestão
882,883,FCAP,Professor Adjunto,Em Exercício,Validada,57.64,7.84,0.0,0.0,49.8
883,884,FCAP,Professor Adjunto,Em Exercício,Validada,138.72,25.87,35.15,12.51,65.19
884,885,FCAP,Professor Adjunto,Em Exercício,Validada,47.86,23.63,13.66,7.52,3.05
886,887,FCAP,Professor Adjunto,Em Exercício,Validada,49.71,26.78,2.62,0.0,20.31
887,888,FCAP,Professor Adjunto,Em Exercício,Validada,73.58,40.25,19.67,2.05,11.61
891,892,FCM,Professor Adjunto,Em Exercício,Validada,334.46,145.9,98.44,29.89,60.23
895,896,FCM,Professor Adjunto,Em Exercício,Validada,184.19,74.28,63.56,26.33,20.02
898,899,FCM,Professor Auxiliar,Em Exercício,Validada,43.56,24.44,7.8,11.32,0.0
899,900,FCM,Professor Adjunto,Em Exercício,Validada,179.1,81.98,95.52,0.53,1.07
901,902,FCM,Professor Assistente,Em Exercício,Validada,99.74,74.27,20.89,0.53,4.05
902,903,FCM,Professor Adjunto,Em Exercício,Validada,71.37,30.15,31.95,4.76,4.51
903,904,FCM,Professor Adjunto,Em Exercício,Validada,34.29,17.92,16.37,0.0,0.0
911,912,Garanhuns,Professor Adjunto,Em Exercício,Validada,170.61,81.1,26.63,17.59,45.29
912,913,Garanhuns,Professor Adjunto,Em Exercício,Validada,126.41,75.59,40.16,7.89,2.77
913,914,POLI,Professor Adjunto,Em Exercício,Validada,273.71,66.51,108.33,70.89,27.98
914,915,Garanhuns,Professor Adjunto,Afastamento Parcial (3 meses),Validada,240.25,47.03,129.45,14.93,0.79
915,916,Garanhuns,Professor Adjunto,Em Exercício,Validada,127.28,45.79,34.23,4.36,42.9
916,917,Garanhuns,Professor Auxiliar,Em Exercício,Rejeitada,129.82,44.31,42.09,42.15,1.27
917,918,Garanhuns,Professor Adjunto,Em Exercício,Validada,269.85,91.01,94.22,26.47,58.15
918,919,Garanhuns,Professor Adjunto,Em Exercício,Validada,141.56,60.72,34.98,9.91,35.95
919,920,Garanhuns,Professor Adjunto,Em Exercício,Validada,103.35,40.02,13.47,0.0,49.86
920,921,Garanhuns,Professor Adjunto,Em Exercício,Validada,160.48,62.13,46.76,10.93,40.66
921,922,Garanhuns,Professor Adjunto,Em Exercício,Validada,270.32,85.9,72.8,50.3,61.32
922,923,Garanhuns,Professor Auxiliar,Em Exercício,Validada,33.74,18.0,3.34,7.05,5.35
923,924,Garanhuns,Professor Auxiliar,Em Exercício,Validada,44.71,42.0,0.0,0.0,2.71
924,925,Garanhuns,Professor Adjunto,Em Exercício,Validada,151.1,90.83,25.99,29.37,4.91
925,926,Garanhuns,Professor Adjunto,Em Exercício,Validada,158.18,67.79,36.22,0.53,53.64
926,927,Garanhuns,Professor Adjunto,Em Exercício,Validada,143.08,64.07,17.54,2.8,58.67
927,928,Garanhuns,Professor Adjunto,Em Exercício,Validada,192.87,109.15,56.97,17.26,9.49
928,929,Garanhuns,Professor Adjunto,Em Exercício,Validada,139.56,74.25,23.43,2.05,39.83
929,930,Garanhuns,Professor Adjunto,Em Exercício,Validada,115.45,41.6,65.75,5.17,2.93
930,931,Garanhuns,Professor Adjunto,Em Exercício,Validada,116.65,41.24,6.52,3.14,65.75
940,941,Arcoverde,Professor Assistente,Em Exercício,Validada,77.26,22.16,13.15,3.41,38.54
941,942,Arcoverde,Professor Adjunto,Em Exercício,Validada,90.75,31.17,51.53,6.98,1.07
942,943,Arcoverde,Professor Adjunto,Em Exercício,Validada,170.11,44.9,72.59,32.92,19.7
944,945,Arcoverde,Professor Adjunto,Afastamento Parcial (3 meses),Validada,204.5,61.64,30.48,24.22,47.26
945,946,Arcoverde,Professor Adjunto,Afastamento Parcial (2 meses),Validada,226.52,51.45,91.89,16.61,34.21
946,947,Arcoverde,Professor Assistente,Em Exercício,Validada,107.71,62.07,34.88,0.53,10.23
947,948,Arcoverde,Professor Assistente,Em Exercício,Validada,72.8,30.06,32.32,7.65,2.77
952,953,Salgueiro,Professor Adjunto,Em Exercício,Validada,139.04,46.09,65.09,13.8,14.06
953,954,Salgueiro,Professor Assistente,Afastamento Total,Validada,6.5,,,,
954,955,Salgueiro,Professor Assistente,Afastamento Total,Validada,6.5,,,,
955,956,Salgueiro,Professor Assistente,Afastamento Total,Validada,6.5,,,,
956,957,Salgueiro,Professor Adjunto,Em Exercício,Validada,367.21,117.41,123.41,52.97,73.42
957,958,Salgueiro,Professor Adjunto,Em Exercício,Validada,537.98,182.45,189.09,54.57,111.87
959,960,Petrolina,Professor Adjunto,Em Exercício,Validada,202.17,82.64,68.16,13.3,38.07
960,961,Petrolina,Professor Adjunto,Em Exercício,Validada,170.45,78.19,48.88,0.0,43.38
961,962,Petrolina,Professor Adjunto,Em Exercício,Validada,252.39,84.96,106.0,45.48,15.95
962,963,Petrolina,Professor Adjunto,Em Exercício,Validada,238.85,103.16,71.51,15.76,48.42
963,964,Petrolina,Professor Adjunto,Em Exercício,Validada,186.24,127.32,13.7,0.0,45.22
964,965,Petrolina,Professor Adjunto,Em Exercício,Validada,170.0,67.64,58.81,0.0,43.55
965,966,Petrolina,Professor Adjunto,Em Exercício,Validada,109.3,47.01,10.93,5.61,45.75
966,967,Petrolina,Professor Adjunto,Em Exercício,Validada,69.66,45.49,2.08,12.0,10.09
967,968,Petrolina,Professor Adjunto,Em Exercício,Validada,101.27,48.79,19.75,20.66,12.07
968,969,Petrolina,Professor Adjunto,Em Exercício,Validada,148.74,58.62,80.24,0.0,9.88
969,970,Petrolina,Professor Adjunto,Em Exercício,Validada,155.31,108.25,17.95,28.04,1.07
970,971,Petrolina,Professor Assistente,Afastamento Parcial (2 meses),Validada,44.0067,21.96,6.97,7.72,1.07
971,972,Petrolina,Professor Adjunto,Em Exercício,Validada,157.97,90.48,25.41,27.24,14.84
972,973,Petrolina,Professor Adjunto,Em Exercício,Validada,169.42,73.83,28.82,32.48,34.29
973,974,Petrolina,Professor Adjunto,Em Exercício,Validada,50.88,31.76,10.68,2.86,5.58
981,982,FOP,Professor Adjunto,Em Exercício,Validada,137.96,42.6,31.35,5.52,58.49
982,983,FOP,Professor Adjunto,Em Exercício,Validada,255.36,123.19,59.19,51.51,21.47
983,984,FOP,Professor Adjunto,Em Exercício,Validada,68.4,55.29,7.73,2.71,2.67
984,985,FOP,Professor Adjunto,Em Exercício,Validada,167.03,46.32,29.06,22.74,68.91
988,989,Mata Norte,Professor Adjunto,Em Exercício,Validada,56.46,27.89,25.45,2.05,1.07
989,990,Mata Norte,Professor Adjunto,Em Exercício,Validada,209.2,82.23,61.26,24.61,41.1
990,991,Mata Norte,Professor Assistente,Em Exercício,Validada,77.28,26.18,1.71,8.71,40.68
991,992,Mata Norte,Professor Adjunto,Em Exercício,Validada,103.84,70.95,17.22,0.0,15.67
992,993,Mata Norte,Professor Adjunto,Em Exercício,Validada,180.81,109.42,64.93,5.39,1.07
993,994,Mata Norte,Professor Adjunto,Em Exercício,Validada,112.07,49.39,4.91,2.63,55.14
994,995,Garanhuns,Professor Adjunto,Em Exercício,Validada,152.55,85.15,19.9,11.34,36.16
995,996,Mata Norte,Professor Adjunto,Em Exercício,Validada,84.15,26.64,10.77,8.77,37.97
996,997,Mata Norte,Professor Adjunto,Em Exercício,Validada,281.89,149.51,65.42,12.8,54.16
997,998,Mata Norte,Professor Adjunto,Em Exercício,Validada,212.63,65.04,99.4,27.91,20.28
998,999,Mata Norte,Professor Adjunto,Em Exercício,Validada,133.91,84.63,29.1,0.0,20.18
1004,1005,Mata Sul,Professor Adjunto,Em Exercício,Validada,221.06,100.07,34.72,15.45,70.82
1007,1008,POLI,Professor Adjunto,Em Exercício,Validada,179.2,107.9,19.89,0.0,51.41
1008,1009,POLI,Professor Adjunto,Em Exercício,Validada,130.22,96.76,19.9,6.28,7.28
1009,1010,POLI,Professor Assistente,Em Exercício,Validada,54.22,35.98,0.0,0.0,18.24
1010,1011,POLI,Professor Assistente,Em Exercício,Validada,47.12,44.34,1.71,0.0,1.07
1011,1012,POLI,Professor Adjunto,Em Exercício,Validada,213.9,108.8,47.65,13.07,44.38
1012,1013,POLI,Professor Assistente,Em Exercício,Validada,92.18,36.17,0.0,0.0,56.01
1013,1014,POLI,Professor Assistente,Em Exercício,Validada,20.27,19.2,0.0,0.0,1.07
1014,1015,POLI,Professor Adjunto,Afastamento Total,Validada,6.5,,,,
1018,1019,Serra Talhada,Professor Adjunto,Em Exercício,Validada,353.2,58.15,224.08,32.05,38.92
1020,1021,Serra Talhada,Professor Adjunto,Em Exercício,Validada,172.13,38.38,73.24,27.39,33.12
