,DOCENTE,UNIDADE,CARGO,VINCULO,STATUS,Nota_RAD,Ensino,Pesquisa,Extensão,Gestão
436,437,FOP,Professor Adjunto,Em Exercício,Validada,159.77,78.69,15.87,55.35,9.86
437,438,POLI,Professor Adjunto,Em Exercício,Validada,62.15,55.0,4.1,0.0,3.05
438,439,ESEF,Professor Adjunto,Em Exercício,Validada,171.76,85.75,28.39,16.76,40.86
439,440,Petrolina,Professor Assistente,Afastamento Total,Validada,6.5,,,,
440,441,ICB,Professor Adjunto,Em Exercício,Validada,47.8,24.73,0.0,12.98,10.09
441,442,FCM,Professor Adjunto,Em Exercício,Validada,154.65,106.59,48.06,0.0,0.0
442,443,ICB,Professor Adjunto,Em Exercício,Validada,27.81,23.52,2.43,0.0,1.86
443,444,POLI,Professor Adjunto,Em Exercício,Validada,39.92,22.04,8.2,2.05,7.63
444,445,FENSG,Professor Auxiliar,Em Exercício,Validada,49.11,26.87,5.05,4.02,13.17
446,447,Petrolina,Professor Adjunto,Em Exercício,Validada,97.44,33.32,19.54,23.03,21.55
447,448,Petrolina,Professor Assistente,Afastamento Total,Validada,6.5,,,,
449,450,Petrolina,Professor Auxiliar,Em Exercício,Validada,22.51,18.0,0.0,0.0,4.51
450,451,FENSG,Professor Assistente,Em Exercício,Validada,90.98,51.59,15.99,12.24,11.16
452,453,FENSG,Professor Adjunto,Em Exercício,Validada,250.19,101.68,28.94,55.33,64.24
454,455,Garanhuns,Professor Adjunto,Em Exercício,Validada,127.46,88.27,20.48,13.62,5.09
455,456,Petrolina,Professor Adjunto,Em Exercício,Validada,94.83,45.07,27.89,11.7,10.17
456,457,FENSG,Professor Assistente,Em Exercício,Validada,179.64,54.06,32.78,44.37,48.43
457,458,Mata Norte,Professor Adjunto,Em Exercício,Validada,95.06,63.31,27.98,2.7,1.07
458,459,FCM,Professor Assistente,Em Exercício,Validada,67.06,40.55,1.36,2.98,22.17
460,461,ESEF,Professor Adjunto,Em Exercício,Validada,290.99,93.21,97.66,21.36,78.76
461,462,Mata Norte,Professor Assistente,Em Exercício,Validada,121.39,50.05,17.82,12.74,40.78
463,464,Petrolina,Professor Adjunto,Afastamento Parcial (6 meses),Validada,156.54,45.16,25.33,9.27,24.6
464,465,Petrolina,Professor Assistente,Afastamento Parcial (6 meses),Validada,163.155,65.8,19.15,14.92,8.9
465,466,Mata Norte,Professor Adjunto,Em Exercício,Validada,185.12,85.33,35.86,22.88,41.05
466,467,FOP,Professor Adjunto,Em Exercício,Validada,93.43,42.43,15.3,2.08,33.62
467,468,Garanhuns,Professor Adjunto,Em Exercício,Validada,159.89,66.04,49.53,5.98,38.34
468,469,Petrolina,Professor Adjunto,Em Exercício,Validada,205.12,101.53,73.73,0.0,29.86
469,470,FENSG,Professor Adjunto,Em Exercício,Validada,257.62,74.9,50.68,25.0,107.04
470,471,Petrolina,Professor Adjunto,Em Exercício,Validada,117.37,52.48,34.16,12.78,17.95
471,472,Arcoverde,Professor Adjunto,Em Exercício,Validada,73.75,29.88,35.38,4.71,3.78
472,473,POLI,Professor Associado,Em Exercício,Validada,144.89,39.04,77.72,0.0,28.13
473,474,POLI,Professor Adjunto,Em Exercício,Validada,72.5,29.19,0.0,0.0,43.31
