Docente,Cargo,Nota_RAD,Unidade,Ano
bbebcd7d69a8e053c78f835a91bf51cf9501f0dd5eebbcf55db7cdb84defd3c2,Professor Adjunto,13.32,FCM,2017
5dcb0d2704c976d1badc84c20640808522b34e84da646683fdb5225b0c3d832b,Professor Assistente,,Garanhuns,2017
eef557c8d2be0744e03becf0215bbf82f71801308e5d89e3598ac45a2fa58e8c,Professor Assistente,,FCM,2017
f599494088c81970d18b31f2cd7bcc8f8af9c2c56b0b056d50d96d0343b0cc0b,Professor Adjunto,166.04,FOP,2017
caa3e8311f073a17c1bee5e8f2284fe20695b47af1c759f29fdb1150cabcd176,Professor Adjunto,149.13,FOP,2017
16adc2f18817fbf80463b0a84a29e96db82a45ce22f532c871c21c060bcb53d6,Professor Assistente,,FCM,2017
a04b1c99f5cbcfa3e3da8ea0b02470aade06d7798081d3458fa7ad1fe13f41b8,Professor Adjunto,36.49,ICB,2017
6012a37fdb9b5fd4a82c792c6658639210f389aca8d2015f81cec4c3751e7622,Professor Assistente,55.91,FCM,2017
e6cd5995ef86d6c175f8285bfbabd4fa5a5b17dc55f2e069645d7612590e8933,Professor Assistente,49.49,Petrolina,2017
3a59862b546e20deb6022ed90109ce3d24de79c2c94aa903f86d81d723bd8f84,Professor Assistente,,FCM,2017
66b45a42924c9f331981a046f157df70a0c0d60afef5fc45d43e5c5c286a3bc9,Professor Assistente,19.48,ICB,2017
713777560da71749b4cfd3611b82efd12888266a1731ac793a2837dce4b79d7d,Professor Assistente,60.92,POLI,2017
fb3a3c5b883a09272db0fe3ce79c8ac946a242d826c3237da045e3c7995f63f3,Professor Assistente,,Mata Norte,2017
18fd33bd13d713a863887f92863ba00ebd0b8c2a481d6348deabf74de57ca5ae,Professor Auxiliar,18.1,FENSG,2017
6689c320dc33f555f7cc29a5250413bd78758ed2f152fdc315e469642ea75ae9,Professor Assistente,,FCAP,2017
c9f8f8dd25f14e3e66ae56bdc04f1468a2b66d3d6cf51ba5bb998c31a2c50eec,Professor Assistente,,Petrolina,2017
99b7424d371c8bc92e701eafd02ea4ba521dddabe3b54aae1da8e5df7b152941,Professor Auxiliar,,FCM,2017
8696e3a8b9a40b14723225fc10bf5c36f0d813d6aff6e8ef05884034d75b2030,Professor Assistente,25.45,FCM,2017
22cfd3e2e788908e907d48f99002d9629be9f5951686fb58cddf59563fc9d6f1,Professor Adjunto,211.46,Mata Norte,2017
bb60d99f825bd33cce3586dfd7489e28598147ac6755be88a6e9d2e0d43c8756,Professor Assistente,10.25,POLI,2017
a2b7fec1b7a0ffd4d7e5cb9ad5ed2f3eb923606741bc478240450537bfcf6215,Professor Adjunto,63.47,FCM,2017
84f6538c18a97dcb77c54dac3be85fe762d951a39ae257b3ae8e50041ba5bb12,Professor Adjunto,,Garanhuns,2017
3666012be4540fcf8ab29bf3d9693d8a42c6652e2e9dbc6b712c3e157be31ded,Professor Assistente,,FCM,2017
c51efaaf89228643aaa8864cf2fa65c8c661a671bbd03974f1790c4231c92d2e,Professor Assistente,92.74,Garanhuns,2017
ab6d9a4eee392032d4a736599c90b1a8c7ca6a32acecf7d43389149211b91ad3,Professor Assistente,17.11,POLI,2017
9a83cce9135f87e455e7ef6ad3e9ebaae3753bf7a3b4c8d4f93199827d9359a7,Professor Assistente,,FENSG,2017
aa7e8c9e75f6d7cfb879cda16f12fff5bab678d7ab8b972a251cf6bfe7680266,Professor Adjunto,151.85,Garanhuns,2017
